1583937542,11 Mar 20 (14:39),64,"Odd Period Square Roots"
1583934750,11 Mar 20 (13:52),63,"Powerful Digit Counts"
1583928981,11 Mar 20 (12:16),62,"Cubic Permutations"
1583852211,10 Mar 20 (14:56),61,"Cyclical Figurate Numbers"
1576581542,17 Dec 19 (11:19),60,"Prime Pair Sets"
1576244312,13 Dec 19 (13:38),59,"XOR Decryption"
1576156394,12 Dec 19 (13:13),58,"Spiral Primes"
1576153118,12 Dec 19 (12:18),57,"Square Root Convergents"
1576151945,12 Dec 19 (11:59),56,"Powerful Digit Sum"
1576150193,12 Dec 19 (11:29),55,"Lychrel Numbers"
1576139750,12 Dec 19 (08:35),54,"Poker Hands"
1576056059,11 Dec 19 (09:20),53,"Combinatoric Selections"
1575631440,06 Dec 19 (11:24),52,"Permuted Multiples"
1575584034,05 Dec 19 (22:13),51,"Prime Digit Replacements"
1575538124,05 Dec 19 (09:28),42,"Coded Triangle Numbers"
1575469531,04 Dec 19 (14:25),46,"Goldbach's Other Conjecture"
1575456973,04 Dec 19 (10:56),45,"Triangular, Pentagonal, and Hexagonal"
1575412742,03 Dec 19 (22:39),44,"Pentagon Numbers"
1575408169,03 Dec 19 (21:22),41,"Pandigital Prime"
1575374387,03 Dec 19 (11:59),43,"Sub-string Divisibility"
1575322701,02 Dec 19 (21:38),40,"Champernowne's Constant"
1575316922,02 Dec 19 (20:02),38,"Pandigital Multiples"
1574950082,28 Nov 19 (14:08),50,"Consecutive Prime Sum"
1574941002,28 Nov 19 (11:36),49,"Prime Permutations"
1574939002,28 Nov 19 (11:03),48,"Self Powers"
1574929950,28 Nov 19 (08:32),47,"Distinct Primes Factors"
1574765294,26 Nov 19 (10:48),39,"Integer Right Triangles"
1573644833,13 Nov 19 (11:33),37,"Truncatable Primes"
1573640866,13 Nov 19 (10:27),36,"Double-base Palindromes"
1573594828,12 Nov 19 (21:40),35,"Circular Primes"
1573585949,12 Nov 19 (19:12),34,"Digit Factorials"
1573568052,12 Nov 19 (14:14),33,"Digit Cancelling Fractions"
1573511270,11 Nov 19 (22:27),32,"Pandigital Products"
1573506695,11 Nov 19 (21:11),31,"Coin Sums"
1573472571,11 Nov 19 (11:42),30,"Digit Fifth Powers"
1573471046,11 Nov 19 (11:17),29,"Distinct Powers"
1572441507,30 Oct 19 (13:18),28,"Number Spiral Diagonals"
1572425734,30 Oct 19 (08:55),27,"Quadratic Primes"
1572307524,29 Oct 19 (00:05),26,"Reciprocal Cycles"
1572296928,28 Oct 19 (21:08),25,"$1000$-digit Fibonacci Number"
1572271429,28 Oct 19 (14:03),24,"Lexicographic Permutations"
1571928591,24 Oct 19 (15:49),23,"Non-Abundant Sums"
1570700988,10 Oct 19 (10:49),22,"Names Scores"
1570699390,10 Oct 19 (10:23),21,"Amicable Numbers"
1570697674,10 Oct 19 (09:54),20,"Factorial Digit Sum"
1570697147,10 Oct 19 (09:45),19,"Counting Sundays"
1570696237,10 Oct 19 (09:30),18,"Maximum Path Sum I"
1570632186,09 Oct 19 (15:43),17,"Number Letter Counts"
1570607469,09 Oct 19 (08:51),16,"Power Digit Sum"
1570606907,09 Oct 19 (08:41),15,"Lattice Paths"
1570563494,08 Oct 19 (20:38),14,"Longest Collatz Sequence"
1570560958,08 Oct 19 (19:55),13,"Large Sum"
1570542845,08 Oct 19 (14:54),12,"Highly Divisible Triangular Number"
1570541197,08 Oct 19 (14:26),11,"Largest Product in a Grid"
1570537301,08 Oct 19 (13:21),10,"Summation of Primes"
1570535751,08 Oct 19 (12:55),9,"Special Pythagorean Triplet"
1570533806,08 Oct 19 (12:23),8,"Largest Product in a Series"
1570532424,08 Oct 19 (12:00),5,"Smallest Multiple"
1570530605,08 Oct 19 (11:30),6,"Sum Square Difference"
1569585396,27 Sep 19 (12:56),7,"10 001st Prime"
1549589992,08 Feb 19 (01:39),642,"Sum of Largest Prime Factors"
1435930064,03 Jul 15 (14:27),3,"Largest Prime Factor"
1435925128,03 Jul 15 (13:05),2,"Even Fibonacci Numbers"
1435916373,03 Jul 15 (10:39),4,"Largest Palindrome Product"
1435853798,02 Jul 15 (17:16),1,"Multiples of 3 or 5"
