"ID","Title","Published","Solved By","Last Poster","Last Post Date","Solve Status"
71,"Ordered Fractions",1086368400,32756,juster,1752535570,1
72,"Counting Fractions",1087578000,25299,<i>Nick Potter</i>,1753687965,1
73,"Counting Fractions in a Range",1088787600,28056,AlfyB,1753024933,1
74,"Digit Factorial Chains",1089997200,29950,Moop07,1753218057,1
75,"Singular Integer Right Triangles",1091206800,20529,PierrotLeFou,1752860268,1
76,"Counting Summations",1092416400,31914,AlfyB,1753519593,1
77,"Prime Summations",1093626000,21831,AlfyB,1753521074,1
78,"Coin Partitions",1094835600,19416,bzollars,1753651030,1
79,"Passcode Derivation",1095440400,44688,AlfyB,1753532350,1
80,"Square Root Digital Expansion",1097254800,22392,AlfyB,1753544372,1
81,"Path Sum: Two Ways",1098464400,38015,xxmn,1754329003,1
82,"Path Sum: Three Ways",1099677600,23715,xxmn,1754329674,1
83,"Path Sum: Four Ways",1100887200,20612,xxmn,1754330247,1
84,"Monopoly Odds",1102096800,14474,xxmn,1754780527,1
85,"Counting Rectangles",1103306400,27618,xxmn,1754773341,1
86,"Cuboid Route",1105120800,14537,youyh0319,1754132504,1
87,"Prime Power Triples",1106330400,23461,AaryanSachdeva,1753314470,1
88,"Product-sum Numbers",1107540000,11772,ProtonDecay314,1754727218,1
89,"Roman Numerals",1108749600,23515,AlfyB,1754586257,1
90,"Cube Digit Pairs",1109959200,13053,ConnorColombe,1751602998,1
91,"Right Triangles with Integer Coordinates",1111168800,17576,AlfyB,1754714324,1
92,"Square Digit Chains",1112374800,45608,AlfyB,1754731565,1
93,"Arithmetic Expressions",1113584400,13597,<i>pablo</i>,1750383425,1
94,"Almost Equilateral Triangles",1114794000,14306,AlfyB,1754832395,1
95,"Amicable Chains",1116003600,16419,PierrotLeFou,1753066291,1
96,"Su Doku",1117213200,19378,roosendaalsander,1753275601,1
97,"Large Non-Mersenne Prime",1118422800,47152,roosendaalsander,1753341350,1
98,"Anagramic Squares",1119027600,13110,faridlihyan,1754311501,1
99,"Largest Exponential",1120237200,33963,BrandonWojo,1751897271,1
100,"Arranged Probability",1121446800,18665,xxmn,1754406856,1
101,"Optimum Polynomial",1122656400,13266,Killlerkecske7,1753028753,1
102,"Triangle Containment",1123866000,24393,drassont,1754878208,1
103,"Special Subset Sums: Optimum",1125075600,9299,eschafer90,1753616826,1
104,"Pandigital Fibonacci Ends",1126285200,18085,xxmn,1754430333,1
105,"Special Subset Sums: Testing",1127494800,9230,AI_Andy,1744929377,1
106,"Special Subset Sums: Meta-testing",1128704400,7392,jemulator,1749187875,0
107,"Minimal Network",1129914000,12376,xxmn,1753621635,0
108,"Diophantine Reciprocals I",1131127200,14276,xxmn,1754413160,0
109,"Darts",1132336800,9279,xxmn,1753622903,0
110,"Diophantine Reciprocals II",1133546400,9255,xxmn,1754413308,0
111,"Primes with Runs",1134756000,8329,xxmn,1753716309,0
112,"Bouncy Numbers",1135965600,27191,xxmn,1754436853,0
113,"Non-bouncy Numbers",1139594400,12417,xxmn,1754473255,0
114,"Counting Block Combinations I",1140199200,12220,xxmn,1754489975,0
115,"Counting Block Combinations II",1140804000,11174,xxmn,1754490515,0
116,"Red, Green or Blue Tiles",1141408800,13573,xxmn,1754490884,0
117,"Red, Green, and Blue Tiles",1142013600,12526,xxmn,1754491048,0
118,"Pandigital Prime Sets",1143223200,8025,xxmn,1754492557,0
119,"Digit Power Sum",1144429200,13808,PierrotLeFou,1748916190,0
120,"Square Remainders",1145638800,15371,AI_Andy,1745208107,0
121,"Disc Game Prize Fund",1148058000,10892,xxmn,1753717343,0
122,"Efficient Exponentiation",1149267600,8884,PierrotLeFou,1751657631,0
123,"Prime Square Remainders",1150477200,12855,prettysg,1738885610,0
124,"Ordered Radicals",1152896400,15154,,1752056659,0
125,"Palindromic Sums",1154710800,15119,CurryBoi,1754678155,0
126,"Cuboid Layers",1155920400,5458,<i>Icy</i>,1751140210,0
127,"abc-hits",1157130000,7152,<i>Nick Potter</i>,1743241070,0
128,"Hexagonal Tile Differences",1159549200,5722,prettysg,1740146582,0
129,"Repunit Divisibility",1161968400,7139,megabyte0,1744535745,0
130,"Composites with Prime Repunit Property",1161968400,6702,pickdig,1747043321,0
131,"Prime Cube Partnership",1163181600,8343,GoodRiddance,1753433287,0
132,"Large Repunit Factors",1164996000,7195,abelin,1751372902,0
133,"Repunit Nonfactors",1164996000,6308,Smylic,1748358543,0
134,"Prime Pair Connection",1166205600,7959,PierrotLeFou,1751773715,0
135,"Same Differences",1167415200,7298,AI_Andy,1745812568,0
136,"Singleton Difference",1167415200,6509,AI_Andy,1745812696,0
137,"Fibonacci Golden Nuggets",1168624800,6348,ShomNom,1754650079,0
138,"Special Isosceles Triangles",1169290800,6631,GoodRiddance,1753748811,0
139,"Pythagorean Tiles",1169888400,6436,CurryBoi,1754341982,0
140,"Modified Fibonacci Golden Nuggets",1170486000,4997,squareroot,1750712476,0
141,"Square Progressive Numbers",1171688400,4565,hitman47,1750489734,0
142,"Perfect Square Collection",1172278800,6569,ronnyweasle,1734474823,0
143,"Torricelli Triangles",1172869200,3183,brahimzeno,1738459113,0
144,"Laser Beam Reflections ",1173459600,7097,azax,1747509357,0
145,"Reversible Numbers",1174050000,18363,PierrotLeFou,1751337566,0
146,"Investigating a Prime Pattern ",1174726800,5834,kwj,1754050110,0
147,"Rectangles in Cross-hatched Grids",1175317200,3485,yJluTbl4,1732861863,0
148,"Exploring Pascal's Triangle",1175907600,5845,reck314,1750920456,0
149,"Maximum-sum Subsequence",1176498000,5485,Oliver1012,1737712676,0
150,"Sub-triangle Sums",1176498000,4507,Duvoleros,1734180799,0
151,"A Preference for A5",1177088400,6282,Anonymoose,1748285724,0
152,"Sums of Square Reciprocals",1177678800,3117,StudiousGoblin,1750783896,0
153,"Investigating Gaussian Integers",1178355600,3018,hitman47,1752913964,0
154,"Exploring Pascal's Pyramid",1178946000,3023,sqrt73,1739308929,0
155,"Counting Capacitor Circuits",1179536400,4118,firas5673,1743233672,0
156,"Counting Digits",1180126800,2818,jakell,1749103433,0
157,"Base-10 Diophantine Reciprocal",1180717200,3115,xxmn,1754742876,0
158,"Lexicographical Neighbours",1181912400,4117,xxmn,1754693022,0
159,"Digital Root Sums of Factorisations",1183208400,3732,<i>Mythreyi</i>,1754579504,0
160,"Factorial Trailing Digits",1189170000,4013,returned,1742436677,0
161,"Triominoes",1190394000,2468,<i>Ido Nahshon</i>,1752332535,0
162,"Hexadecimal Numbers",1191618000,5980,<i>Mikhail Lomonosov</i>,1753048617,0
163,"Cross-hatched Triangles",1192237200,2103,Smylic,1750956152,0
164,"Three Consecutive Digital Sum Limit",1192856400,6461,sqlmdx,1752699980,0
165,"Intersections",1193475600,2979,ATawnyOwl,1738369561,0
166,"Criss Cross",1194094800,4636,WaveM3,1749538825,0
167,"Investigating Ulam Sequences",1194613200,1978,adamant,1742837742,0
168,"Number Rotations",1195232400,3037,<i>ricbit</i>,1754630177,0
169,"Sums of Powers of Two",1195851600,5764,flakelorenz,1750207535,0
170,"Pandigital Concatenating Products",1196470800,2277,<i>Ido Nahshon</i>,1751016224,0
171,"Square Sum of the Digital Squares",1197090000,3196,sqlmdx,1752700691,0
172,"Few Repeated Digits",1197709200,4321,sqlmdx,1752707774,0
173,"Hollow Square Laminae I",1198328400,10072,xxmn,1754841437,0
174,"Hollow Square Laminae II",1198328400,6597,xxmn,1754842972,0
175,"Fractions and Sum of Powers of Two",1198846800,2077,popop614,1754883575,0
176,"Common Cathetus Right-angled Triangles",1199466000,2175,<i>Nick Potter</i>,1747053584,0
177,"Integer Angled Quadrilaterals",1200085200,1494,sqrt73,1740875877,0
178,"Step Numbers",1200704400,3874,aviad_bl,1732656314,0
179,"Consecutive Positive Divisors",1201323600,12358,<i>Mikhail Lomonosov</i>,1752535579,0
180,"Golden Triplets",1201942800,1829,WaveM3,1754038400,0
181,"Grouping Two Different Coloured Objects",1202562000,2315,jakell,1748765231,0
182,"RSA Encryption",1203080400,2976,Oliver1609,1741171400,0
183,"Maximum Product of Parts",1203699600,5201,hitman47,1750518363,0
184,"Triangles Containing the Origin",1204318800,1903,adamant,1752432232,0
185,"Number Mind",1204938000,3555,adamant,1752438875,0
186,"Connectedness of a Network",1205557200,3238,sel68,1746045917,0
187,"Semiprimes",1206176400,12292,<i>Mikhail Lomonosov</i>,1752538604,0
188,"Hyperexponentiation",1207314000,7067,yoav745,1751759273,0
189,"Tri-colouring a Triangular Grid",1207929600,2383,<i>ricbit</i>,1743991675,0
190,"Maximising a Weighted Product",1208552400,4650,xxmn,1753806517,0
191,"Prize Strings",1209168000,7879,aksarv,1754341703,0
192,"Best Approximations",1209787200,1910,<i>Greymagick</i>,1741214508,0
193,"Squarefree Numbers",1210420800,3874,<i>Mikhail Lomonosov</i>,1752769256,0
194,"Coloured Configurations",1211014800,1650,<i>Mikhail Lomonosov</i>,1750199750,0
195,"$60$-degree Triangle Inscribed Circles",1211547600,1651,popop614,1752027366,0
196,"Prime Triplets",1212166800,2957,pickdig,1747153439,0
197,"A Recursively Defined Sequence",1212786000,5465,Marouan,1740432210,0
198,"Ambiguous Numbers",1213405200,1321,adamant,1752443083,0
199,"Iterative Circle Packing",1214024400,2245,sqrt73,1741784914,0
200,"Prime-proof Squbes",1214643600,2750,krihag,1750553252,0
201,"Subsets with a Unique Sum",1215262800,2689,<i>Haroun</i>,1754598710,0
202,"Laserbeam",1215262800,2915,<i>Mikhail Lomonosov</i>,1749324624,0
203,"Squarefree Binomial Coefficients",1220706000,10025,<i>Mikhail Lomonosov</i>,1752541474,0
204,"Generalised Hamming Numbers",1220706000,8110,PierrotLeFou,1747362349,0
205,"Dice Game",1220706000,16317,slghtrd,1752498788,0
206,"Concealed Square",1220706000,26525,AbstractAlgebrist,1754774817,0
207,"Integer Partition Equations",1220706000,5222,Varcho,1738969529,0
208,"Robot Walks",1221224400,2002,sqrt73,1744031235,0
209,"Circular Logic",1221843600,2829,<i>Nick Potter</i>,1753236932,0
210,"Obtuse Angled Triangles",1222462800,1938,ATawnyOwl,1741731729,0
211,"Divisor Square Sum",1223082000,4708,feyrie,1754865878,0
212,"Combined Volume of Cuboids",1223701200,1586,sqrt73,1744650635,0
213,"Flea Circus",1224320400,2664,siennathesane,1749576377,0
214,"Totient Chains",1224939600,5789,rap2363,1748540351,0
215,"Crack-free Walls",1225458000,4102,<i>Mikhail Lomonosov</i>,1752776322,0
216,"The Primality of $2n^2 - 1$",1226077200,4673,<i>Ido Nahshon</i>,1747497288,0
217,"Balanced Numbers",1226696400,1719,<i>Janardhanan</i>,1743736255,0
218,"Perfect Right-angled Triangles",1227315600,3359,Qq0,1745207226,0
219,"Skew-cost Coding",1227934800,1674,<i>Mikhail Lomonosov</i>,1750802557,0
220,"Heighway Dragon",1228554000,2408,megabyte0,1745877473,0
221,"Alexandrian Integers",1229173200,2382,sqrt73,1741552929,0
222,"Sphere Packing",1229691600,2338,sqrt73,1743427514,0
223,"Almost Right-angled Triangles I",1230310800,1759,sqrt73,1743544406,0
224,"Almost Right-angled Triangles II",1230310800,1430,sqrt73,1744318928,0
225,"Tribonacci Non-divisors",1230310800,4956,Anonymoose,1746659835,0
226,"A Scoop of Blancmange",1230930000,1996,Wrobinson,1734545692,0
227,"The Chase",1231549200,2402,Mino260806,1751228295,0
228,"Minkowski Sums",1232168400,1517,<i>Mikhail Lomonosov</i>,1752003962,0
229,"Four Representations Using Squares",1232787600,1650,sqrt73,1744410592,0
230,"Fibonacci Words",1233406800,3175,Mino260806,1751233518,0
231,"Prime Factorisation of Binomial Coefficients",1233925200,6025,jgraham49,1753206671,0
232,"The Race",1234544400,2025,grok123,1752728205,0
233,"Lattice Points on a Circle",1235163600,2606,megabyte0,1746155459,0
234,"Semidivisible Numbers",1235782800,3580,<i>pilotInPyjamas</i>,1741151369,0
235,"An Arithmetic Geometric Sequence",1236402000,5468,phroq,1749075415,0
236,"Luxury Hampers",1237021200,1081,Smylic,1754584572,0
237,"Tours on a $4 \times N$ Playing Board",1237640400,1802,megabyte0,1746267097,0
238,"Infinite String Tour",1238335200,1107,bcsb1001,1753586879,0
239,"Twenty-two Foolish Primes",1238774400,2055,grok123,1752351758,0
240,"Top Dice",1239397200,2450,michelkraemer,1746476680,0
241,"Perfection Quotients",1240016400,1085,hacatu,1749597617,0
242,"Odd Triplets",1240635600,1194,sqrt73,1746630270,0
243,"Resilience",1241254800,10440,Polycarbohydrate,1750529357,0
244,"Sliders",1241874000,1497,<i>Mikhail Lomonosov</i>,1751403605,0
245,"Coresilience",1242392400,958,IvayloS,1734869554,0
246,"Tangents to an Ellipse",1243008000,955,FlorianDelpoux,1728946314,0
247,"Squares Under a Hyperbola",1243627200,1665,sqrt73,1743707913,0
248,"Euler's Totient Function Equals 13!",1244246400,1495,sqrt73,1744743734,0
249,"Prime Subset Sums",1244865600,2860,grok123,1754107268,0
250,"$250250$",1244865600,3388,emerent,1740841498,0
251,"Cardano Triplets",1245484800,1609,<i>Mikhail Lomonosov</i>,1749528574,0
252,"Convex Holes",1246104000,989,michelkraemer,1743161777,0
253,"Tidying Up A",1251460800,1198,michelkraemer,1746958979,0
254,"Sums of Digit Factorials",1252080000,1108,sqrt73,1748891470,0
255,"Rounded Square Roots",1252699200,1008,<i>Mikhail Lomonosov</i>,1751797755,0
256,"Tatami-Free Rooms",1253318400,847,hacatu,1750805814,0
257,"Angular Bisectors",1253937600,810,aryabhatta_euler,1751025268,0
258,"A Lagged Fibonacci Sequence",1254556800,1849,jasperrou,1750084581,0
259,"Reachable Numbers",1255176000,1713,bcsb1001,1753637951,0
260,"Stone Game",1255694400,1495,sqrt73,1747140736,0
261,"Pivotal Square Sums",1256313600,803,Mohammad_Ali_B,1729959705,0
262,"Mountain Range",1256936400,839,Varcho,1737409570,0
263,"An Engineers' Dream Come True",1257555600,1201,sqrt73,1745970255,0
264,"Triangle Centres",1258174800,667,megabyte0,1749128871,0
265,"Binary Circles",1258794000,4621,FlorianDelpoux,1729896936,0
266,"Pseudo Square Root",1259413200,1932,sqrt73,1731536871,0
267,"Billionaire",1259931600,3788,Alphanumerical,1754391738,0
268,"At Least Four Distinct Prime Factors Less Than 100",1260550800,1663,papadil,1748041144,0
269,"Polynomials with at Least One Integer Root",1261213200,810,dainichikai,1750783455,0
270,"Cutting Squares",1261789200,747,Patryqss,1751625233,0
271,"Modular Cubes, Part 1",1262408400,2695,hitman47,1746883222,0
272,"Modular Cubes, Part 2",1262408400,1132,yamaguch,1753801272,0
273,"Sum of Squares",1263042000,1594,yamaguch,1752410838,0
274,"Divisibility Multipliers",1263560400,1602,yamaguch,1753886712,0
275,"Balanced Sculptures",1264179600,704,michelkraemer,1748197191,0
276,"Primitive Triangles",1264798800,1237,yamaguch,1752409324,0
277,"A Modified Collatz Sequence",1265418000,3602,michelkraemer,1746042850,0
278,"Linear Combinations of Semiprimes",1266037200,1200,sqrt73,1748636605,0
279,"Triangles with Integral Sides and an Integral Angle ",1266656400,861,ATawnyOwl,1741133699,0
280,"Ant and Seeds",1267275600,1196,sqrt73,1751065189,0
281,"Pizza Toppings",1267794000,1145,<i>Mikhail Lomonosov</i>,1751616585,0
282,"The Ackermann Function",1268413200,1187,hacatu,1750757394,0
283,"Integer Sided Triangles with Integral Area/perimeter Ratio",1269032400,725,j...,1736875783,0
284,"Steady Squares",1269651600,1424,ATawnyOwl,1750609929,0
285,"Pythagorean Odds",1270267200,1392,sqrt73,1745854366,0
286,"Scoring Probabilities",1270267200,2415,sqrt73,1741876279,0
287,"Quadtree Encoding (a Simple Compression Algorithm)",1270886400,1632,dainichikai,1751015271,0
288,"An Enormous Factorial",1271505600,1904,sel68,1747716676,0
289,"Eulerian Cycles",1272024000,586,hacatu,1749848824,0
290,"Digital Signature",1272643200,1120,am17an,1748495282,0
291,"Panaitopol Primes",1273262400,1659,sqrt73,1740151526,0
292,"Pythagorean Polygons",1273881600,658,FlorianDelpoux,1730557320,0
293,"Pseudo-Fortunate Numbers",1274500800,3311,gal.eon,1740564469,0
294,"Sum of Digits - Experience #23",1275120000,1069,sqrt73,1742997610,0
295,"Lenticular Holes",1275739200,533,FlorianDelpoux,1730593943,0
296,"Angular Bisector and Tangent",1276257600,683,FlorianDelpoux,1730676823,0
297,"Zeckendorf Representation",1276876800,3090,sqrt73,1741362143,0
298,"Selective Amnesia",1277496000,783,michelkraemer,1750523831,0
299,"Three Similar Triangles",1278115200,711,hacatu,1750055740,0
300,"Protein Folding",1283601600,1268,j...,1733320976,0
301,"Nim",1284217200,7241,AbstractAlgebrist,1754912290,0
302,"Strong Achilles Numbers",1284832800,872,FlorianDelpoux,1730744381,0
303,"Multiples with Small Digits",1285448400,4042,megabyte0,1747661686,0
304,"Primonacci",1286064000,2486,<i>Mikhail Lomonosov</i>,1753056344,0
305,"Reflexive Position",1286679600,712,michelkraemer,1751185435,0
306,"Paper-strip Game",1287295200,1418,<i>Icy</i>,1752855883,0
307,"Chip Defects",1287910800,1878,jakell,1750918044,0
308,"An Amazing Prime-generating Automaton",1288440000,877,michelkraemer,1751692050,0
309,"Integer Ladders",1289059200,937,ATawnyOwl,1740701604,0
310,"Nim Square",1289674800,1341,StudiousGoblin,1751393211,0
311,"Biclinic Integral Quadrilaterals",1290290400,495,rspalek,1746587683,0
312,"Cyclic Paths on Sierpiński Graphs",1290906000,967,ATawnyOwl,1748380734,0
313,"Sliding Game",1291521600,1822,sqrt73,1746461532,0
314,"The Mouse on the Moon",1292137200,593,pescador17,1753838720,0
315,"Digital Root Clocks",1292752800,3744,2455,1737803940,0
316,"Numbers in Decimal Expansions",1293282000,762,shobonvip,1743963603,0
317,"Firecracker",1293897600,3040,<i>Shokan</i>,1750958192,0
318,"2011 Nines",1293897600,1079,SeventhRootOfUnity,1748868494,0
319,"Bounded Sequences",1294513200,472,FlorianDelpoux,1731193024,0
320,"Factorials Divisible by a Huge Integer",1295128800,1021,michelkraemer,1753286112,0
321,"Swapping Counters",1295744400,1949,sqrt73,1742151928,0
322,"Binomial Coefficients Divisible by 10",1296360000,536,FlorianDelpoux,1731275689,0
323,"Bitwise-OR Operations on Random Integers",1296975600,4330,<i>Mikhail Lomonosov</i>,1752350332,0
324,"Building a Tower",1297591200,816,haroldgparker,1754582513,0
325,"Stone Game II",1298120400,698,hacatu,1732354493,0
326,"Modulo Summations",1298736000,611,FlorianDelpoux,1731333403,0
327,"Rooms of Doom",1299351600,1265,hacatu,1748480920,0
328,"Lowest-cost Search",1299967200,511,thedoctar,1752925002,0
329,"Prime Frog",1300582800,2817,rcht,1745650143,0
330,"Euler's Number",1301198400,603,flobacus,1751648250,0
331,"Cross Flips",1301814000,491,FlorianDelpoux,1731435263,0
332,"Spherical Triangles",1302426000,695,michelkraemer,1752167785,0
333,"Special Partitions",1302955200,1405,sqrt73,1745507438,0
334,"Spilling the Beans",1303570800,542,FlorianDelpoux,1731500572,0
335,"Gathering the Beans",1303570800,587,j...,1734075573,0
336,"Maximix Arrangements",1304186400,2299,sqrt73,1740082900,0
337,"Totient Stairstep Sequences",1304802000,600,FlorianDelpoux,1731541853,0
338,"Cutting Rectangular Grid Paper",1305417600,385,FlorianDelpoux,1731593073,0
339,"Peredur Fab Efrawg",1306033200,634,michelkraemer,1752312302,0
340,"Crazy Function",1306648800,1268,sqrt73,1745605652,0
341,"Golomb's Self-describing Sequence",1307264400,1063,michelkraemer,1753446957,0
342,"The Totient of a Square Is a Cube",1307793600,914,pwang00,1741059204,0
343,"Fractional Sequences",1308409200,1576,sqrt73,1745545766,0
344,"Silver Dollar Game",1309024800,384,lightbulbMEOW,1739530271,0
345,"Matrix Sum",1315062000,6379,froycard,1751569920,0
346,"Strong Repunits",1315062000,4878,CurryBoi,1754083964,0
347,"Largest Integer Divisible by Two Primes",1315062000,5109,<i>Mikhail Lomonosov</i>,1752547492,0
348,"Sum of a Square and a Cube",1315062000,3404,froycard,1752510166,0
349,"Langton's Ant",1315062000,2156,sqrt73,1743425322,0
350,"Constraining the Least Greatest and the Greatest Least",1315677600,545,FlorianDelpoux,1731927674,0
351,"Hexagonal Orchards",1316293200,2899,megabyte0,1748319520,0
352,"Blood Tests",1317513600,693,FlorianDelpoux,1731950670,0
353,"Risky Moon",1318129200,569,michelkraemer,1753626517,0
354,"Distances in a Bee's Honeycomb ",1318744800,508,Varcho,1741237749,0
355,"Maximal Coprime Subset",1319360400,614,RibozymeR,1754846399,0
356,"Largest Roots of Cubic Polynomials",1319889600,695,megabyte0,1748544607,0
357,"Prime Generating Integers",1320508800,9077,phroq,1750335750,0
358,"Cyclic Numbers",1321124400,1817,j...,1734943181,0
359,"Hilbert's New Hotel",1321740000,1709,sqrt73,1746145429,0
360,"Scary Sphere",1322355600,659,Varcho,1738445274,0
361,"Subsequence of Thue-Morse Sequence",1322971200,361,FlorianDelpoux,1732181739,0
362,"Squarefree Factors",1323586800,544,hacatu,1750410193,0
363,"Bézier Curves",1324202400,1271,michelkraemer,1754544712,0
364,"Comfortable Distance",1324731600,800,FlorianDelpoux,1732240915,0
365,"A Huge Binomial Coefficient",1325347200,1459,sqrt73,1744910359,0
366,"Stone Game III",1325962800,774,squareroot,1746645378,0
367,"Bozo Sort",1326578400,594,FlorianDelpoux,1732324416,0
368,"A Kempner-like Series",1327194000,616,GielvanBergen,1739303038,0
369,"Badugi",1327809600,540,<i>Icy</i>,1752634295,0
370,"Geometric Triangles",1328425200,605,aryabhatta_euler,1753293442,0
371,"Licence Plates",1329040800,1859,sqrt73,1747328089,0
372,"Pencils of Rays",1329570000,459,FlorianDelpoux,1732609611,0
373,"Circumscribed Circles",1330185600,398,aryabhatta_euler,1751629104,0
374,"Maximum Integer Partition Product",1330801200,768,FlorianDelpoux,1732634319,0
375,"Minimum of Subsequences",1331416800,999,i707107,1750980089,0
376,"Nontransitive Sets of Dice",1332032400,325,FlorianDelpoux,1732665087,0
377,"Sum of Digits - Experience #13",1332648000,871,sqrt73,1752538221,0
378,"Triangle Triples",1333260000,997,<i>Mikhail Lomonosov</i>,1735085341,0
379,"Least Common Multiple Count",1333879200,611,aryabhatta_euler,1752739385,0
380,"Amazing Mazes!",1334408400,587,FlorianDelpoux,1732718938,0
381,"$(\text{prime}-k)$ Factorial",1335024000,4821,TitanCode,1751632783,0
382,"Generating Polygons",1335639600,393,ATawnyOwl,1739593958,0
383,"Divisibility Comparison Between Factorials",1336255200,540,FlorianDelpoux,1732786100,0
384,"Rudin-Shapiro Sequence",1336870800,378,FlorianDelpoux,1732792443,0
385,"Ellipses Inside Triangles",1337486400,329,<i>Icy</i>,1753118649,0
386,"Maximum Length of an Antichain",1338102000,852,<i>Mikhail Lomonosov</i>,1751487994,0
387,"Harshad Numbers",1338717600,5156,TitanCode,1748181661,0
388,"Distinct Lines",1339246800,670,megabyte0,1749944443,0
389,"Platonic Dice",1339862400,1721,sqrt73,1749820866,0
